sim_id,similarity_fn,model,layer,unit,description,similarity,,,,,,,,,,
0,soft_wpmi,net_t0_e49,layer4,18,automobile ,,,,,,,,,,,2.1452837
0,soft_wpmi,net_t0_e49,layer4,51,automobile ,,,,,,,,,,,1.9609089
0,soft_wpmi,net_t0_e49,layer4,53,automobile ,,,,,,,,,,,1.9311142
0,soft_wpmi,net_t0_e49,layer4,62,automobile ,,,,,,,,,,,1.8927364
0,soft_wpmi,net_t0_e49,layer4,10,automobile ,,,,,,,,,,,1.7758675
0,soft_wpmi,net_t0_e49,layer4,30,airplane ,,,,,,,,,,,1.5113792
0,soft_wpmi,net_t0_e49,layer4,24,automobile ,,,,,,,,,,,1.4882908
0,soft_wpmi,net_t0_e49,layer4,15,airplane ,,,,,,,,,,,1.4137688
0,soft_wpmi,net_t0_e49,layer4,58,airplane ,,,,,,,,,,,1.4029646
0,soft_wpmi,net_t0_e49,layer4,61,airplane ,,,,,,,,,,,1.3509636
0,soft_wpmi,net_t0_e49,layer4,55,automobile ,,,,,,,,,,,1.281949
0,soft_wpmi,net_t0_e49,layer4,27,airplane ,,,,,,,,,,,1.2478609
0,soft_wpmi,net_t0_e49,layer4,50,airplane ,,,,,,,,,,,1.2101755
0,soft_wpmi,net_t0_e49,layer4,0,airplane ,,,,,,,,,,,1.1502123
0,soft_wpmi,net_t0_e49,layer4,25,airplane ,,,,,,,,,,,1.1495714
0,soft_wpmi,net_t0_e49,layer4,16,automobile ,,,,,,,,,,,1.1468906
0,soft_wpmi,net_t0_e49,layer4,7,airplane ,,,,,,,,,,,1.1236601
0,soft_wpmi,net_t0_e49,layer4,12,automobile ,,,,,,,,,,,1.0530682
0,soft_wpmi,net_t0_e49,layer4,44,automobile ,,,,,,,,,,,1.0363941
0,soft_wpmi,net_t0_e49,layer4,60,airplane ,,,,,,,,,,,1.0107756
0,soft_wpmi,net_t0_e49,layer4,29,airplane ,,,,,,,,,,,1.0007792
0,soft_wpmi,net_t0_e49,layer4,23,airplane ,,,,,,,,,,,0.9968653
0,soft_wpmi,net_t0_e49,layer4,57,airplane ,,,,,,,,,,,0.9209814
0,soft_wpmi,net_t0_e49,layer4,8,airplane ,,,,,,,,,,,0.90625095
0,soft_wpmi,net_t0_e49,layer4,9,airplane ,,,,,,,,,,,0.83692837
0,soft_wpmi,net_t0_e49,layer4,38,airplane ,,,,,,,,,,,0.82172394
0,soft_wpmi,net_t0_e49,layer4,41,airplane ,,,,,,,,,,,0.7239809
0,soft_wpmi,net_t0_e49,layer4,45,airplane ,,,,,,,,,,,0.711915
0,soft_wpmi,net_t0_e49,layer4,39,airplane ,,,,,,,,,,,0.6485014
0,soft_wpmi,net_t0_e49,layer4,43,airplane ,,,,,,,,,,,0.62451553
0,soft_wpmi,net_t0_e49,layer4,11,automobile ,,,,,,,,,,,0.59904194
0,soft_wpmi,net_t0_e49,layer4,42,airplane ,,,,,,,,,,,0.5286579
0,soft_wpmi,net_t0_e49,layer4,37,automobile ,,,,,,,,,,,0.25044632
0,soft_wpmi,net_t0_e49,layer4,35,automobile ,,,,,,,,,,,0.2260685
0,soft_wpmi,net_t0_e49,layer4,54,automobile ,,,,,,,,,,,0.19789982
