sim_id,similarity_fn,model,layer,unit,description,similarity
0,soft_wpmi,task_t0_model,layer4,0,airplane 										,-3.728631
0,soft_wpmi,task_t0_model,layer4,1,automobile 										,1.0118694
0,soft_wpmi,task_t0_model,layer4,2,automobile 										,0.72815895
0,soft_wpmi,task_t0_model,layer4,3,automobile 										,0.6648197
0,soft_wpmi,task_t0_model,layer4,4,airplane 										,1.3756943
0,soft_wpmi,task_t0_model,layer4,5,automobile 										,0.6955223
0,soft_wpmi,task_t0_model,layer4,6,airplane 										,0.9284916
0,soft_wpmi,task_t0_model,layer4,7,automobile 										,0.7916031
0,soft_wpmi,task_t0_model,layer4,8,airplane 										,0.40867805
0,soft_wpmi,task_t0_model,layer4,9,airplane 										,-0.94045544
0,soft_wpmi,task_t0_model,layer4,10,automobile 										,0.9568949
0,soft_wpmi,task_t0_model,layer4,11,airplane 										,0.49337006
0,soft_wpmi,task_t0_model,layer4,12,airplane 										,1.0064602
0,soft_wpmi,task_t0_model,layer4,13,airplane 										,-0.60261726
0,soft_wpmi,task_t0_model,layer4,14,automobile 										,0.75221634
0,soft_wpmi,task_t0_model,layer4,15,airplane 										,1.1399307
0,soft_wpmi,task_t0_model,layer4,16,automobile 										,0.6885176
0,soft_wpmi,task_t0_model,layer4,17,airplane 										,0.44423008
0,soft_wpmi,task_t0_model,layer4,18,automobile 										,0.95618534
0,soft_wpmi,task_t0_model,layer4,19,airplane 										,1.1514893
0,soft_wpmi,task_t0_model,layer4,20,automobile 										,0.37505436
0,soft_wpmi,task_t0_model,layer4,21,automobile 										,0.69832706
0,soft_wpmi,task_t0_model,layer4,22,airplane 										,0.79338074
0,soft_wpmi,task_t0_model,layer4,23,airplane 										,0.8983116
0,soft_wpmi,task_t0_model,layer4,24,airplane 										,-2.5239658
0,soft_wpmi,task_t0_model,layer4,25,automobile 										,0.7798052
0,soft_wpmi,task_t0_model,layer4,26,automobile 										,0.8066416
0,soft_wpmi,task_t0_model,layer4,27,automobile 										,0.93378925
0,soft_wpmi,task_t0_model,layer4,28,airplane 										,0.25091076
0,soft_wpmi,task_t0_model,layer4,29,automobile 										,0.7059965
0,soft_wpmi,task_t0_model,layer4,30,automobile 										,0.5143032
0,soft_wpmi,task_t0_model,layer4,31,automobile 										,0.62043095
0,soft_wpmi,task_t0_model,layer4,32,automobile 										,0.7306204
0,soft_wpmi,task_t0_model,layer4,33,automobile 										,0.83879757
0,soft_wpmi,task_t0_model,layer4,34,automobile 										,-3.7686234
0,soft_wpmi,task_t0_model,layer4,35,airplane 										,0.9019108
0,soft_wpmi,task_t0_model,layer4,36,airplane 										,0.63235855
0,soft_wpmi,task_t0_model,layer4,37,airplane 										,-4.432562
0,soft_wpmi,task_t0_model,layer4,38,airplane 										,1.1620369
0,soft_wpmi,task_t0_model,layer4,39,airplane 										,1.2930918
0,soft_wpmi,task_t0_model,layer4,40,automobile 										,0.8103361
0,soft_wpmi,task_t0_model,layer4,41,airplane 										,1.0589256
0,soft_wpmi,task_t0_model,layer4,42,automobile 										,0.70055485
0,soft_wpmi,task_t0_model,layer4,43,automobile 										,0.96877766
0,soft_wpmi,task_t0_model,layer4,44,airplane 										,1.3021212
0,soft_wpmi,task_t0_model,layer4,45,automobile 										,0.7213898
0,soft_wpmi,task_t0_model,layer4,46,airplane 										,1.13484
0,soft_wpmi,task_t0_model,layer4,47,automobile 										,-0.75764465
0,soft_wpmi,task_t0_model,layer4,48,automobile 										,-0.5724945
0,soft_wpmi,task_t0_model,layer4,49,automobile 										,0.78931427
0,soft_wpmi,task_t0_model,layer4,50,airplane 										,-3.9899273
0,soft_wpmi,task_t0_model,layer4,51,airplane 										,-1.0016518
0,soft_wpmi,task_t0_model,layer4,52,airplane 										,0.5439291
0,soft_wpmi,task_t0_model,layer4,53,airplane 										,0.91902256
0,soft_wpmi,task_t0_model,layer4,54,airplane 										,-2.605175
0,soft_wpmi,task_t0_model,layer4,55,automobile 										,0.70039654
0,soft_wpmi,task_t0_model,layer4,56,automobile 										,1.0346136
0,soft_wpmi,task_t0_model,layer4,57,airplane 										,1.0387592
0,soft_wpmi,task_t0_model,layer4,58,automobile 										,0.83657074
0,soft_wpmi,task_t0_model,layer4,59,airplane 										,0.69147396
0,soft_wpmi,task_t0_model,layer4,60,airplane 										,0.69903946
0,soft_wpmi,task_t0_model,layer4,61,airplane 										,1.4798975
0,soft_wpmi,task_t0_model,layer4,62,automobile 										,0.82444763
0,soft_wpmi,task_t0_model,layer4,63,automobile 										,0.5157404
