sim_id,similarity_fn,model,layer,unit,description,similarity
0,soft_wpmi,net_t0_e49,layer4,0,airplane 										,1.100709
0,soft_wpmi,net_t0_e49,layer4,1,automobile 										,-0.118795395
0,soft_wpmi,net_t0_e49,layer4,2,airplane 										,-2.3466063
0,soft_wpmi,net_t0_e49,layer4,3,automobile 										,0.05661869
0,soft_wpmi,net_t0_e49,layer4,4,airplane 										,-3.4367342
0,soft_wpmi,net_t0_e49,layer4,5,automobile 										,-1.6134272
0,soft_wpmi,net_t0_e49,layer4,6,automobile 										,-3.5185423
0,soft_wpmi,net_t0_e49,layer4,7,airplane 										,0.8901224
0,soft_wpmi,net_t0_e49,layer4,8,airplane 										,1.1326609
0,soft_wpmi,net_t0_e49,layer4,9,airplane 										,0.88349724
0,soft_wpmi,net_t0_e49,layer4,10,automobile 										,-0.83167934
0,soft_wpmi,net_t0_e49,layer4,11,automobile 										,0.305686
0,soft_wpmi,net_t0_e49,layer4,12,automobile 										,-0.74255943
0,soft_wpmi,net_t0_e49,layer4,13,automobile 										,-0.6140337
0,soft_wpmi,net_t0_e49,layer4,14,automobile 										,-2.9691095
0,soft_wpmi,net_t0_e49,layer4,15,airplane 										,1.216155
0,soft_wpmi,net_t0_e49,layer4,16,automobile 										,1.5209932
0,soft_wpmi,net_t0_e49,layer4,17,airplane 										,-2.3300276
0,soft_wpmi,net_t0_e49,layer4,18,automobile 										,2.1907177
0,soft_wpmi,net_t0_e49,layer4,19,automobile 										,0.016326904
0,soft_wpmi,net_t0_e49,layer4,20,airplane 										,-0.5355139
0,soft_wpmi,net_t0_e49,layer4,21,automobile 										,-0.6892557
0,soft_wpmi,net_t0_e49,layer4,22,automobile 										,0.28369808
0,soft_wpmi,net_t0_e49,layer4,23,airplane 										,0.62790585
0,soft_wpmi,net_t0_e49,layer4,24,automobile 										,1.5322895
0,soft_wpmi,net_t0_e49,layer4,25,airplane 										,1.0711308
0,soft_wpmi,net_t0_e49,layer4,26,automobile 										,-0.122306824
0,soft_wpmi,net_t0_e49,layer4,27,airplane 										,0.912344
0,soft_wpmi,net_t0_e49,layer4,28,automobile 										,-1.2079468
0,soft_wpmi,net_t0_e49,layer4,29,airplane 										,0.94213486
0,soft_wpmi,net_t0_e49,layer4,30,airplane 										,0.95510197
0,soft_wpmi,net_t0_e49,layer4,31,automobile 										,-0.037952423
0,soft_wpmi,net_t0_e49,layer4,32,airplane 										,-3.537179
0,soft_wpmi,net_t0_e49,layer4,33,automobile 										,-2.4523592
0,soft_wpmi,net_t0_e49,layer4,34,airplane 										,0.41816235
0,soft_wpmi,net_t0_e49,layer4,35,automobile 										,-2.138506
0,soft_wpmi,net_t0_e49,layer4,36,automobile 										,-1.1134186
0,soft_wpmi,net_t0_e49,layer4,37,automobile 										,1.4034643
0,soft_wpmi,net_t0_e49,layer4,38,airplane 										,0.9506502
0,soft_wpmi,net_t0_e49,layer4,39,airplane 										,-0.2688408
0,soft_wpmi,net_t0_e49,layer4,40,automobile 										,0.3487873
0,soft_wpmi,net_t0_e49,layer4,41,airplane 										,1.163312
0,soft_wpmi,net_t0_e49,layer4,42,airplane 										,1.5225382
0,soft_wpmi,net_t0_e49,layer4,43,airplane 										,0.66294384
0,soft_wpmi,net_t0_e49,layer4,44,automobile 										,1.9336195
0,soft_wpmi,net_t0_e49,layer4,45,airplane 										,-0.35639858
0,soft_wpmi,net_t0_e49,layer4,46,airplane 										,0.19842911
0,soft_wpmi,net_t0_e49,layer4,47,automobile 										,-2.0100126
0,soft_wpmi,net_t0_e49,layer4,48,automobile 										,0.0023059845
0,soft_wpmi,net_t0_e49,layer4,49,automobile 										,-1.0407085
0,soft_wpmi,net_t0_e49,layer4,50,airplane 										,1.2998753
0,soft_wpmi,net_t0_e49,layer4,51,automobile 										,2.162737
0,soft_wpmi,net_t0_e49,layer4,52,airplane 										,0.07603359
0,soft_wpmi,net_t0_e49,layer4,53,automobile 										,1.6203766
0,soft_wpmi,net_t0_e49,layer4,54,automobile 										,1.3542671
0,soft_wpmi,net_t0_e49,layer4,55,automobile 										,0.35043907
0,soft_wpmi,net_t0_e49,layer4,56,automobile 										,-1.8432751
0,soft_wpmi,net_t0_e49,layer4,57,airplane 										,1.2080288
0,soft_wpmi,net_t0_e49,layer4,58,airplane 										,1.3949184
0,soft_wpmi,net_t0_e49,layer4,59,automobile 										,-1.4269886
0,soft_wpmi,net_t0_e49,layer4,60,airplane 										,1.1985769
0,soft_wpmi,net_t0_e49,layer4,61,airplane 										,1.4602118
0,soft_wpmi,net_t0_e49,layer4,62,automobile 										,0.6333809
0,soft_wpmi,net_t0_e49,layer4,63,airplane 										,-3.4288511
